BIBLIOTECA;;;;;;;
GENERE;TITOLO;AUTORE;CASA EDITRICE;ANNO;LUOGO;;
ARTE;Grande manuale delle tecniche d'arte;Ettore Maiotti;RCS Libri;1993;SALA;;
ARTE;Restauri;Luciano Pierini;Chiaruccia Fano;2009;SALA;;
ARTE;The art book;Vari;Mondadori Editore;1998;SALA;;
ARTE;La Storia dell'Arte;E.H. Gombrich;Einaudi Editore;1993;SALA;;
ARTE;Davanti all'Immagine;Vittorio Sgarbi;Rizzoli Editore;1990;SALA;;
ARTE;Caravaggio;Vari;Rizzoli Editore;2003;CORRIDOIO;;
ARTE;Leonardo;Enrica Crispino;La biblioteca dell'arte;2005;CORRIDOIO;;
ARTE;Caravaggio;Roberto Longhi;Editori riuniti;1993;CORRIDOIO;;
ARTE;Munch;Eva Di Stefano;Giunti Editore;1990;CORRIDOIO;;
ARTE;Michelangelo;Vari;Giunti Editore;1990;CORRIDOIO;;
ARTE;Impressionismo;Bernard Denvir;Giunti Editore;1990;CORRIDOIO;;
ARTE;Artestoria;Ernesto l. Francalanci;De Agostini Editore;1986;CORRIDOIO;;
ARTE;Arte nel tempo Glossario;De Vecchi-Cerchiari;Bompiani;1995;CORRIDOIO;;
ARTE;Arte nel tempo Vol I;De Vecchi-Cerchiari;Bompiani;1995;CORRIDOIO;;
ARTE;Arte nel tempo Vol II;De Vecchi-Cerchiari;Bompiani;1995;CORRIDOIO;;
ARTE;Michelangelo;Vari;La Repubblica;1988;CORRIDOIO;;
ARTE;Masaccio e Piero;Vari;La Repubblica;1988;CORRIDOIO;;
ARTE;I grandi musei;Vari;La Repubblica;1975;CORRIDOIO;;
ARTE;Canova;Gianni c. Sciolla;De Agostini Editore;1983;CORRIDOIO;;
ARTE;Come si disegna a matita;Francisco Asins;De vecchi Editore;1984;CORRIDOIO;;
ARTE;Opere della collezione di Maria Torlontano;Gino Ginevri;Bcc;2008;CORRIDOIO;;
ARTE;Concorso letterario;Vari;Accademia dei tenebrosi;2010;CORRIDOIO;;
ASTRONOMIA;Guida delle Stelle e dei Pianeti;Ridpath - Tirion;Edizione CDE spa Milano;1998;SALA;;
ASTRONOMIA;Asteroidi;Salvo De Meis;Orione;1992;SALA;;
ASTRONOMIA;Astronomy;Franknoi/Morrison;Openstax;2016;SALA;;
ASTRONOMIA;Stelle cadenti;Gabriele Vanin;Biroma Editore;1999;SALA;;
ASTRONOMIA;Le scienze quaderni Cosmologia;Bianca Melchiorri;Le scienze;1987;SALA;;
ASTRONOMIA;I pianeti della stella sole;Marcello Fulchignoni;Le scienze;1982;SALA;;
ASTRONOMIA;L'universo  ;Michael Rowan Robinson;Zanichelli Editore;1996;SALA;;
ASTRONOMIA;L'universo dal Big Bnag alla fine del tempo;Colin A. Ronan;Mondadori Editore;1992;SALA;;
ASTRONOMIA;L'universo nel terzo millennio;Margherita Hack;Bur Rizzoli;1992;CORRIDOIO;;
ASTRONOMIA;Alla scoperta sel sistema solare;Margherita Hack;Mondadori Editore;1995;SALA;;
ASTRONOMIA;Atlante fotografico dell'universo;Gabriele Vanin;Mondadori Editore;1996;SALA;;
ASTRONOMIA;Il cosmo intelligente;Paul Davies;Mondadori Editore;1989;SALA;;
ASTRONOMIA;Corso di Astronomia Vol 1;Lorenzo Roi;Biblioteca comunale di Monticello Conte Otto;1997;CORRIDOIO;;
ASTRONOMIA;Corso di Astronomia Vol 2;Lorenzo Roi;Biblioteca comunale di Monticello Conte Otto;1998;CORRIDOIO;;
ASTRONOMIA;Extragalactic astronomy and cosmology;Peter Schneider;Spriger;2006;SALA;;
ASTRONOMIA;Dieci anni di comete;Meis-Magni;Orione;1997;SALA;;
ASTRONOMIA;"Comete, Asteroidi; Meteoriti";Vari;Le scienze;1985;SALA;;
ASTRONOMIA;Il pianeta terra;Vari;Le scienze;1989;SALA;;
ASTRONOMIA;Ambienti Planetari;Vari;Le scienze;1987;SALA;;
ASTRONOMIA;L'universo spiegato ai miei nipoti;Hubert Reeves;Dalai editore;2011;CORRIDOIO;;
ASTRONOMIA;Sette brevi lezioni di fisica;Carlo Rovelli;Adelphi eBook;2014;CORRIDOIO;;
ASTRONOMIA;Il nuovo sistema solare vol I;Piero Bianucci;Fabbri Editore;1983;SALA;;
ASTRONOMIA;Il nuovo sistema solare vol II;Piero Bianucci;Fabbri Editore;1983;SALA;;
ASTRONOMIA;Il telescopio costruire o acquistare;Vari;Edizioni scientifiche coelum;2002;CORRIDOIO;;
ASTRONOMIA;L'universo elegante;Brian Green;Einaudi editore;1999;CORRIDOIO;;
ASTRONOMIA;Le costellazioni;Marco Cagnotti;Newton;2000;CORRIDOIO;;
ASTRONOMIA;Dizionario dei termini;vari;Fabbri Editore;1991;CORRIDOIO;;
ATLANTI;Il nuovo atlante De Agostini;Vari;De Agostini Editore;1982;SALA;;
BIOGRAFIA;Pagato per divertirmi;Leandro Leonardi;Etabeta;2022;CORRIDOIO;;
BIOLOGIA;I geni e il nostro futuro;Renato Dulbecco;Edizione CDE spa Milano;1995;SALA;;
BIOLOGIA;L'0rigine dell'uomo;Charles Darwin;Newton;1992;SALA;;
BIOLOGIA;L'anello di re Salomone;Konrad Lorenz;Mondadori Editore;1977;SALA;;
BIOLOGIA;Il libro di biologia;Isaac Asimov;Mondadori Editore;1987;SALA;;
BIOLOGIA;Gli albori della vita;Alessandro Minnelli;Le scienze;1984;SALA;;
BIOLOGIA;Genetica;Giampiero Sironi;Le scienze;1982;SALA;;
BIOLOGIA;Atlante illustrato di Istologia;Fiedler-Lieder;Franco Muzzio Editore;1986;SALA;;
BIOLOGIA;L'altra faccia dello specchio;Konrad Lorenz;Bompiani;1985;SALA;;
BIOLOGIA;La logica del vivente;Francois Jacobs;Einaudi Editore;1990;SALA;;
BIOLOGIA;La straordinaria storia della vita sulla terra;Piero e Alberto Angela;Mondadori Editore;1993;SALA;;
BIOLOGIA;La straordinaria storia dell'uomo;Piero e Alberto Angela;Mondadori Editore;1990;SALA;;
BIOLOGIA;Il progetto della vita;Renato Dulbecco;Mondadori Editore;1988;SALA;;
BIOLOGIA;I fossili e la storia della vita;George Gaylord Simpson;Zanichelli Editore;1990;SALA;;
BIOLOGIA;Lineamenti di scienza della nutrizione;S.Ciangherotti;Ecig;1992;SALA;;
BIOLOGIA;An introdution to Marine Science;Ji Campbell;Willmer Brothers;1978;SALA;;
BIOLOGIA;La biologia contemporanea;Garland E. Allen;Il Mulino;1985;SALA;;
BIOLOGIA;L'apprendimento animale;G.B. Flores D'Arcais;Aldo Martello Editore;1973;SALA;;
BIOLOGIA;Embriologia dei vertebrati;C. Houillon;Casa editrice Ambrosiana;1987;SALA;;
BIOLOGIA;Morfologia dinamca dei vertebrati;<Giuseppe Minelli;Patron Editore;1989;SALA;;
BIOLOGIA;Atlante di anatomia dei vertebrati;Minelli-Del Grande;Piccin Editore Padova;1983;SALA;;
BIOLOGIA;Tecniche di produzione animale;Vari;Liviana Editrice;1985;SALA;;
BIOLOGIA;Citologia Istologia;P. Rosati;Edi-Ermes;1987;SALA;;
BIOLOGIA;Ecologia;Michael Begon;Zanichelli Editore;1989;SALA;;
BIOLOGIA;Anatomia umana;Vari;Edi-Ermes;1989;SALA;;
BIOLOGIA;Io sono qui tu dove sei?;Konrad Lorenz;Mondadori Editore;1989;SALA;;
BIOLOGIA;Il sistema immunitario;Franco Celada;Le scienze;1990;SALA;;
BIOLOGIA;Sviluppo biologico: Morfogenesi;Salvatore Russo Caia;Le scienze;1989;SALA;;
BIOLOGIA;Ormoni: Biologia e clinica;Alberto Angeli;Le scienze;1990;SALA;;
BIOLOGIA;Virus e malattie;Maria Luisa Profeta;Le scienze;1992;SALA;;
BIOLOGIA;Ecosistemi;Giorgio Celli;Le scienze;1990;SALA;;
BIOLOGIA;Inquinamento atmosferico;Vincenzo Ferrara;Le scienze;1991;SALA;;
BIOLOGIA;L'organizzazione della cellula;Vari;Le scienze;1989;SALA;;
BIOLOGIA;Enzimi;Mario Rippa;Le scienze;1988;SALA;;
BIOLOGIA;Difetti genetici;Laura del Senno;Le scienze;1989;SALA;;
BIOLOGIA;La fotobiologia;Giorgio Forti;Le scienze;1989;SALA;;
BIOLOGIA;Polimeri;Mario Farina;Le scienze;1990;SALA;;
BIOLOGIA;DNA e RNA;Vittorio Sgaramella;Le scienze;1991;SALA;;
BIOLOGIA;Ansia e depressione;Vittorino Andreoli;Le scienze;1991;SALA;;
BIOLOGIA;Biologia 1;Vari;Zanichelli Editore;1980;SALA;;
BIOLOGIA;Biologia 2;Vari;Zanichelli Editore;1980;SALA;;
BIOLOGIA;Le meraviglie del corpo umano;Vari;Readers digest;1972;SALA;;
BIOLOGIA;Citologia Istologia;P.Rosati;Edi-Ermes;1989;SALA;;
BIOLOGIA;Dizionario di etologia;Danilo Mainardi;Einaudi Editore;1994;CORRIDOIO;;
BIOLOGIA;Manuale di Igiene;Albano-Salvaggio;Piccin;1987;CORRIDOIO;;
BIOLOGIA;Biologia vegetale e animale;Mazzi-Strigoli;Edagricole;1982;CORRIDOIO;;
BIOLOGIA;Biologia, igiene e mondo inorganico;Mazzi-Strigoli;Edizioni agricole Bologna;1977;CORRIDOIO;;
BIOLOGIA;Lepidotteri dei fruttiferi e della vite;Vari;Edizioni l'informatore agrario;1992;CORRIDOIO;;
BIOLOGIA;The selfish gene;Richard dawkins;Oxford University Press;2016;CAMERA L;;
BIOLOGIA;Biologia e medicina;Vari;Zanichelli Editore;1995;CORRIDOIO;;
BOTANICA;Le piante più comuni e più notevoli;Lino Vaccari;Vincenzo Bona Editore;1936;SALA;;
BOTANICA;Malattie crittogamiche delle piante da frutto;Ivan Ponti;Edizioni l'informatore agrario;1988;SALA;;
BOTANICA;Manuale di agricoltura;Vari;Hoepli Editore;1991;SALA;;
BOTANICA;Fisiologia delle piante;Alpi-Pupillo-Rigano;Società editrice scientifica;1998;SALA;;
BOTANICA;Guida alle esercitazioni di botanica;Calzoni-Speranza;Patron Editore;1985;SALA;;
BOTANICA;Olivo bonsai;Javier Navas;Edizioni SNEV;1992;SALA;;
BOTANICA;Quecia bonsai;Carolina Piris;Edizioni SNEV;1992;SALA;;
BOTANICA;Bonsai;Vari;MP;1991;SALA;;
BOTANICA;Flora D'Italia vol I;Sandro Pignatti;Edagricole;1982;SALA;;
BOTANICA;Flora D'Italia vol II;Sandro Pignatti;Edagricole;1982;SALA;;
BOTANICA;Flora D'Italia vol III;Sandro Pignatti;Edagricole;1982;SALA;;
BOTANICA;Guida pratica per l'impiego degli antiparassitari ;Vari;Federconsorzi;1987;SALA;;
BOTANICA;Florario;Alfredo Cattabiani;Mondadori Editore;1996;CORRIDOIO;;
BOTANICA;Il mondo vegetale;Mazzi-Strigoli;Edagricole;1983;CORRIDOIO;;
BOTANICA;Impariamo a conoscere le malerbe;vari;Siapa;1965;CORRIDOIO;;
BOTANICA;Erbe spontanee e infestanti, tecniche di riconoscimento;Viggiani-Angelini;Edagricole;1993;CORRIDOIO;;
BOTANICA;Le tecniche di coltivazione delle colture agro industriali;Vari;Agronomica;1995;CORRIDOIO;;
BOTANICA;I tuoi fiori, le tue piante;Vari;Bayer;1996;CORRIDOIO;;
BOTANICA;Guida alla potatura;Vari;Cifo;1999;CORRIDOIO;;
BOTANICA;Guida alla potatura;Vari;Cifo;1999;CORRIDOIO;;
BOTANICA;Fiori e piante per vasi e fioriere;Vari;Compo;2004;CORRIDOIO;;
BOTANICA;L'orto senza problemi;Vari;Compo;2002;CORRIDOIO;;
BOTANICA;Manuale per il riconoscimento delle erbe infestanti;vari;Silm;1989;CORRIDOIO;;
BOTANICA;Guida verde;Vari;Cifo;1989;CORRIDOIO;;
BOTANICA;Feromoni nel controllo degli insetti;Vari;Agrimont;1991;CORRIDOIO;;
BOTANICA;L'ABC dei fitofarmaci;Vari;Grapho 5;1999;CORRIDOIO;;
BOTANICA;Diserbanti e loro impiego;Battistino Vercesi;Edagricole;1976;CORRIDOIO;;
BOTANICA;Ricerche floristiche Marche;Vari;Provincia di Pesaro;2006;CORRIDOIO;;
BOTANICA;Piante rocciose;The Royal Horticultural Society;DK;1997;CAMERA L;;
BOTANICA;Piante aromatiche;The Royal Horticultural Society;DK;1998;CAMERA L;;
BOTANICA;Fiori spontanei del mediterraneo;David Burnie;DK;1995;CAMERA L;;
BOTANICA;Erbe;Lesley Bremness;DK;1994;CAMERA L;;
BOTANICA;Erbe che curano;Vari;Demetra;2000;CAMERA L;;
BOTANICA;Perenni;The Royal Horticultural Society;DK;1996;CAMERA L;;
BOTANICA;Alberi da giardino;The Royal Horticultural Society;DK;1998;CAMERA L;;
BOTANICA;Alberi  ;Allen J. Coombes;DK;2003;CAMERA L;;
BOTANICA;Bulbose;The Royal Horticultural Society;DK;1999;CAMERA L;;
BOTANICA;Annuali biennali;The Royal Horticultural Society;DK;1999;CAMERA L;;
BOTANICA;Arbusti Rampicanti;The Royal Horticultural Society;DK;1996;CAMERA L;;
BOTANICA;Che fiore è questo;Vari;Franco Muzzio Editore;1996;CAMERA L;;
BOTANICA;Manuale pratico di lotta antiparassitaria;Vari;SIAPA;1971;CAMERA L;;
BOTANICA;Che albero è questo?;Vari;Franco Muzzio Editore;1997;CAMERA L;;
BOTANICA;Guida dei funghi D'Italia e d?europa;Pandolfi-Ubaldi;Franco Muzzio Editore;1997;CAMERA L;;
BOTANICA;Weeds;Vari;Schering;1989;CAMERA L;;
BOTANICA;Orchidee Spontanee della Provincia di Pesaro e Urbino;Vari;Tipolitografia la Pieve;1997;CAMERA L;;
BOTANICA;Guida alle piante medicinali e all'orto dei semplici;Anzalone-Guarrera;La sapienza;1995;CAMERA L;;
CHIMICA;Chimica;Theodore L. Brown;Zanichelli Editore;1987;SALA;;
CHIMICA;Principi di tecnologia delle industrie agrarie;Corrado Cantarelli;Edagricole;1984;SALA;;
CHIMICA;Introduzione alla chimica;Vari;Masson;1988;SALA;;
CHIMICA;Guida alle esercitazioni di chimica;F. Calabresi;Patron Editore;1983;SALA;;
CHIMICA;Chimica;Theodore L. Brown;Zanichelli Editore;1990;SALA;;
CHIMICA;Principia chimica;Vari;Mondadori Editore;1980;CORRIDOIO;;
CHIMICA;Interpretazione delle analisi;Mario Panero;Siapa;1978;CORRIDOIO;;
CHIMICA;Manuale di chimica agraria;Igino Santoni;Edagricole;1982;CORRIDOIO;;
CHIMICA;Compendio di chimica;Corrado Gizzi;Editrice la scuola;1976;CORRIDOIO;;
